OBJECTID,UNITS,ELEVATION,GlobalID,SHAPElen
26,FEET,1000,{C33E6BDE-CB15-4B8F-AA26-8C3F1C01DEF9},30.3468838161305
27,FEET,1000,{FC1EA183-F3C0-400E-A165-C2CAF16D5291},243.57834045553855
28,FEET,1000,{37B48D2B-12A6-4519-8166-CB8A8805A2AD},166.56692652434756
29,FEET,1000,{D1F0C7A5-AD1C-4B29-B33A-BA98EE912A71},198.3640139607546
30,FEET,1000,{6BCC1D25-15E8-46C5-8BA5-44B2D6D0134B},446.19667741396853
31,FEET,1000,{A53145F9-639B-4B0D-A341-3DCEE7EFA627},834.5378127281793
32,FEET,1000,{06093606-FFBD-451C-BB12-B33BA88214C4},189.9538762540757
33,FEET,1000,{C09CF565-D85E-4E02-B522-6B0A4BB9E40B},178.03009349960078
34,FEET,1000,{2F6B9FBC-1987-4067-B0D7-CFE35E4F3C96},201.1970139339386
35,FEET,1000,{0F022376-272E-4C69-8395-32F22DEF38AF},313.036993593999
36,FEET,1000,{73783DEE-3B79-4D99-933F-06B671C78243},631.2420572806468
37,FEET,1000,{B241C39D-30E4-470F-920D-0EC7CEB5E45E},179.58495519999678
38,FEET,1000,{FCF6D267-EA0B-4998-87A3-6B9B467B56F0},1294.7139224335372
39,FEET,1000,{F7E7D031-238B-4BC4-A84A-AD0ED8C66E15},173.44598221465782
40,FEET,1500,{E553A1C1-4365-4376-9E18-B66A9B542917},120.92223416264974
41,FEET,1500,{E7CF50D9-8691-4751-A9BB-D575C388185E},167.75630647797743
42,FEET,1000,{77A206E5-C5EA-41D7-9BAF-C44F7BC8D8FB},147.48506846576794
43,FEET,1000,{0DD70F6C-6DA8-4B3E-A267-9116EA801396},150.34241637488813
44,FEET,1000,{EB4564AC-5666-4C14-B63A-B7A2D2108B8F},138.37704319962617
45,FEET,1500,{17A7A8D2-1595-45FC-ADEE-322A206B153E},136.75594667785168
46,FEET,1500,{F95A31FE-1B2E-44D0-892C-A62D98527712},218.1797294811619
47,FEET,1000,{F4EF0B4E-0D1A-455E-A16B-A9831D8C7AB6},173.69395059949065
48,FEET,1500,{7A961D07-A61B-443C-A475-1A437F3BA846},28.232282228908595
49,FEET,1000,{778C59C0-462F-4E8F-BEB2-2AC248544F01},99.12466690651269
50,FEET,1000,{FA03FAF6-0BF7-4238-90E4-15C5F60CA85F},223.08730388194928
51,FEET,1500,{E06E4BA7-F7F8-4CBD-8A91-CA12ACAA2C68},1726.6997234700493
